Size, time
1, 10200
101, 8000
201, 7200
301, 7000
401, 6800
501, 6800
601, 5800
701, 5200
801, 5000
901, 5200
1001, 5000
1101, 5000
1201, 5000
1301, 5000
1401, 5000
1501, 5000
1601, 5200
1701, 5000
1801, 5000
1901, 5000
2001, 5200
2101, 5000
2201, 5000
2301, 5200
2401, 5000
2501, 5200
2601, 5000
2701, 5000
2801, 5200
2901, 5200
3001, 5200
3101, 5200
3201, 5200
3301, 5000
3401, 5000
3501, 5000
3601, 5000
3701, 5000
3801, 5000
3901, 5200
4001, 5000
4101, 5000
4201, 5000
4301, 5000
4401, 5000
4501, 5000
4601, 5000
4701, 5200
4801, 5000
4901, 5000
5001, 5000
5101, 5000
5201, 5000
5301, 5000
5401, 5000
5501, 5000
5601, 5000
5701, 5200
5801, 5000
5901, 5000
6001, 5200
6101, 5000
6201, 5000
6301, 5000
6401, 5000
6501, 5000
6601, 5000
6701, 5000
6801, 5000
6901, 5000
7001, 5000
7101, 5200
7201, 5000
7301, 5000
7401, 5000
7501, 5200
7601, 5000
7701, 5000
7801, 5000
7901, 5200
8001, 5200
8101, 5000
8201, 5000
8301, 5000
8401, 5000
8501, 5000
8601, 5000
8701, 5000
8801, 5000
8901, 5000
9001, 5000
9101, 5000
9201, 5200
9301, 5200
9401, 5000
9501, 5000
9601, 5000
9701, 5200
9801, 5000
9901, 5000
